Memory (MB),CPU Usage (%),CPU Time
Memory: 90 MB, CPU Usage: 36.2%, CPU Time: 00:51
Memory: 87 MB, CPU Usage: 36.6%, CPU Time: 00:52
Memory: 87 MB, CPU Usage: 37.0%, CPU Time: 00:53
Memory: 91 MB, CPU Usage: 37.4%, CPU Time: 00:54
Memory: 91 MB, CPU Usage: 37.8%, CPU Time: 00:55
Memory: 91 MB, CPU Usage: 38.2%, CPU Time: 00:56
Memory: 90 MB, CPU Usage: 38.6%, CPU Time: 00:57
Memory: 92 MB, CPU Usage: 38.9%, CPU Time: 00:58
Memory: 92 MB, CPU Usage: 39.2%, CPU Time: 01:00
Memory: 92 MB, CPU Usage: 39.6%, CPU Time: 01:01
Memory: 93 MB, CPU Usage: 40.0%, CPU Time: 01:02
Memory: 91 MB, CPU Usage: 40.3%, CPU Time: 01:03
Memory: 94 MB, CPU Usage: 40.6%, CPU Time: 01:04
Memory: 94 MB, CPU Usage: 40.9%, CPU Time: 01:05
Memory: 94 MB, CPU Usage: 41.3%, CPU Time: 01:06
Memory: 94 MB, CPU Usage: 41.7%, CPU Time: 01:07
Memory: 87 MB, CPU Usage: 42.0%, CPU Time: 01:08
Memory: 92 MB, CPU Usage: 42.3%, CPU Time: 01:09
Memory: 88 MB, CPU Usage: 42.6%, CPU Time: 01:10
Memory: 89 MB, CPU Usage: 42.9%, CPU Time: 01:11
Memory: 88 MB, CPU Usage: 43.2%, CPU Time: 01:12
Memory: 96 MB, CPU Usage: 43.5%, CPU Time: 01:13
Memory: 93 MB, CPU Usage: 43.7%, CPU Time: 01:14
Memory: 91 MB, CPU Usage: 44.0%, CPU Time: 01:15
Memory: 86 MB, CPU Usage: 44.2%, CPU Time: 01:16
Memory: 97 MB, CPU Usage: 44.4%, CPU Time: 01:18
Memory: 97 MB, CPU Usage: 44.7%, CPU Time: 01:19
Memory: 97 MB, CPU Usage: 45.0%, CPU Time: 01:20
Memory: 97 MB, CPU Usage: 45.2%, CPU Time: 01:21
Memory: 98 MB, CPU Usage: 45.4%, CPU Time: 01:22
Memory: 98 MB, CPU Usage: 45.7%, CPU Time: 01:23
Memory: 95 MB, CPU Usage: 45.9%, CPU Time: 01:24
Memory: 95 MB, CPU Usage: 46.0%, CPU Time: 01:25
Memory: 95 MB, CPU Usage: 46.2%, CPU Time: 01:26
Memory: 95 MB, CPU Usage: 46.3%, CPU Time: 01:27
Memory: 92 MB, CPU Usage: 46.4%, CPU Time: 01:28
Memory: 95 MB, CPU Usage: 46.6%, CPU Time: 01:29
Memory: 89 MB, CPU Usage: 46.8%, CPU Time: 01:30
Memory: 99 MB, CPU Usage: 47.0%, CPU Time: 01:31
Memory: 102 MB, CPU Usage: 47.2%, CPU Time: 01:32
Memory: 99 MB, CPU Usage: 47.4%, CPU Time: 01:33
Memory: 105 MB, CPU Usage: 47.5%, CPU Time: 01:34
Memory: 103 MB, CPU Usage: 47.7%, CPU Time: 01:36
Memory: 109 MB, CPU Usage: 47.8%, CPU Time: 01:37
Memory: 100 MB, CPU Usage: 48.0%, CPU Time: 01:38
Memory: 103 MB, CPU Usage: 48.3%, CPU Time: 01:39
Memory: 104 MB, CPU Usage: 48.5%, CPU Time: 01:40
Memory: 107 MB, CPU Usage: 48.6%, CPU Time: 01:41
Memory: 103 MB, CPU Usage: 48.8%, CPU Time: 01:42
Memory: 111 MB, CPU Usage: 48.9%, CPU Time: 01:43
Memory: 114 MB, CPU Usage: 49.1%, CPU Time: 01:44
Memory: 114 MB, CPU Usage: 49.2%, CPU Time: 01:45
Memory: 111 MB, CPU Usage: 49.4%, CPU Time: 01:46
Memory: 114 MB, CPU Usage: 49.5%, CPU Time: 01:47
Memory: 115 MB, CPU Usage: 49.7%, CPU Time: 01:48
Memory: 115 MB, CPU Usage: 49.8%, CPU Time: 01:49
Memory: 108 MB, CPU Usage: 49.9%, CPU Time: 01:50
Memory: 104 MB, CPU Usage: 50.1%, CPU Time: 01:51
Memory: 115 MB, CPU Usage: 50.2%, CPU Time: 01:52
Memory: 105 MB, CPU Usage: 50.3%, CPU Time: 01:54
Memory: 112 MB, CPU Usage: 50.4%, CPU Time: 01:55
Memory: 116 MB, CPU Usage: 50.5%, CPU Time: 01:56
Memory: 116 MB, CPU Usage: 50.6%, CPU Time: 01:57
Memory: 108 MB, CPU Usage: 50.7%, CPU Time: 01:58
Memory: 116 MB, CPU Usage: 50.8%, CPU Time: 01:59
Memory: 102 MB, CPU Usage: 50.9%, CPU Time: 02:00
Memory: 105 MB, CPU Usage: 51.0%, CPU Time: 02:01
Memory: 117 MB, CPU Usage: 51.1%, CPU Time: 02:02
Memory: 117 MB, CPU Usage: 51.1%, CPU Time: 02:03
Memory: 117 MB, CPU Usage: 51.0%, CPU Time: 02:04
Memory: 117 MB, CPU Usage: 51.0%, CPU Time: 02:05
Memory: 117 MB, CPU Usage: 50.9%, CPU Time: 02:06
Memory: 117 MB, CPU Usage: 50.9%, CPU Time: 02:07
Memory: 117 MB, CPU Usage: 50.9%, CPU Time: 02:08
Memory: 117 MB, CPU Usage: 50.9%, CPU Time: 02:09
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:10
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:11
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:12
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:14
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:15
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:16
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:17
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:18
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:19
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:20
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:21
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:22
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:23
Memory: 117 MB, CPU Usage: 50.9%, CPU Time: 02:24
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:25
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:26
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:27
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:28
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:29
Memory: 117 MB, CPU Usage: 50.9%, CPU Time: 02:30
Memory: 117 MB, CPU Usage: 50.9%, CPU Time: 02:31
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:32
Memory: 117 MB, CPU Usage: 50.8%, CPU Time: 02:33
